 Month Name ,Year,Segment,Country, Product , Discount Band ,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts, Sales,COGS,Profit
 January ,2022,Midmarket,Germany, Velo , High ,674,120,15,10110,1021.5,9088.5,6732.222222,2356.277778
 January ,2022,Enterprise,United States of America, Amarilla , High ,573,260,125,71625,7237.5,64387.5,68680,-4292.5
 January ,2022,Midmarket,Canada, Velo , High ,364,120,15,5460,633.6,4826.4,3615.280899,1211.119101
 January ,2022,Government,Germany, Montana , High ,712,5,350,249200,29491,219709,183384.7191,36324.2809
 January ,2022,Small Business,Canada, Paseo , High ,742,10,300,222600,28809,193791,181452.2472,12338.75281
 January ,2022,Channel Partners,France, VTT , High ,1681,250,12,20172,2288.88,17883.12,5023.348315,12859.77169
 January ,2022,Enterprise,Mexico, VTT , High ,493,250,125,61625,7617.5,54007.5,58255.2809,-4247.780899
 January ,2022,Enterprise,Germany, Amarilla , High ,2975,260,125,371875,43518.75,328356.25,354182.0225,-25825.77247
 January ,2022,Government,Mexico, Amarilla , High ,2339,260,20,46780,5783.8,40996.2,23031.57303,17964.62697
 January ,2022,Small Business,United States of America, Paseo , High ,3390,10,300,1017000,125820,891180,843920.4545,47259.54545
 January ,2022,Government,France, Carretera , High ,2344,3,20,46880,6051.6,40828.4,23197.95455,17630.44545
 January ,2022,Government,United States of America, Montana , High ,972,5,350,340200,44703.75,295496.25,252312.069,43184.18103
 January ,2022,Government,United States of America, Paseo , High ,1352,10,7,9464,1309.035,8154.965,6695.373563,1459.591437
 January ,2022,Small Business,Germany, Paseo , High ,807,10,300,242100,31473,210627,201750,8877
 January ,2022,Midmarket,France, Velo , High ,3397,120,15,50955,7795.125,43159.875,33072.70115,10087.17385
 January ,2022,Enterprise,Canada, Amarilla , High ,1542,260,125,192750,26958.75,165791.25,182942.069,-17150.81897
 January ,2022,Government,Canada, Montana , High ,2182,5,350,763700,109147.5,654552.5,565394.186,89158.31395
 February ,2022,Government,Canada, Paseo , None ,277,10,20,5540,0,5540,2770,2770
 February ,2022,Midmarket,Mexico, Paseo , None ,876,10,15,13140,0,13140,8760,4380
 February ,2022,Enterprise,France, Velo , None ,1785,120,125,223125,0,223125,214200,8925
 February ,2022,Small Business,Canada, VTT , None ,1820,250,300,546000,0,546000,455000,91000
 February ,2022,Government,France, Amarilla , None ,2502,260,350,875700,0,875700,650520,225180
 February ,2022,Midmarket,France, Paseo , Low ,2135,10,15,32025,344.4,31680.6,21333.73737,10346.86263
 February ,2022,Channel Partners,United States of America, Carretera , Low ,1709,3,12,20508,222.96,20285.04,5122.484848,15162.55515
 February ,2022,Midmarket,United States of America, Paseo , Low ,1438,10,15,21570,227.1,21342.9,14372.32323,6970.576768
 February ,2022,Midmarket,Canada, Paseo , Low ,2008,10,15,30120,708.9,29411.1,20007.55102,9403.54898
 February ,2022,Government,Germany, Montana , Low ,1723,5,7,12061,411.18,11649.82,8578.659794,3071.160206
 February ,2022,Small Business,United States of America, VTT , Low ,2502,250,300,750600,25596,725004,622855.6701,102148.3299
 February ,2022,Government,Mexico, Amarilla , Low ,1697,260,350,593950,26110,567840,439400,128440
 February ,2022,Channel Partners,France, Carretera , Medium ,1809,3,12,21708,1119,20589,5418.157895,15170.84211
 February ,2022,Channel Partners,Germany, Carretera , Medium ,1004,3,12,12048,669.6,11378.4,2994.315789,8384.084211
 February ,2022,Government,France, Paseo , Medium ,1133,10,20,22660,1303,21357,11240.52632,10116.47368
 February ,2022,Enterprise,Germany, Velo , Medium ,750,120,125,93750,5043.75,88706.25,89640,-933.75
 February ,2022,Government,Germany, Amarilla , Medium ,1350,260,350,472500,23625,448875,351000,97875
 February ,2022,Enterprise,Canada, Velo , Medium ,828,120,125,103500,7140,96360,98410.21277,-2050.212766
 February ,2022,Enterprise,United States of America, Velo , Medium ,2341,120,125,292625,20662.5,271962.5,277748.9362,-5786.43617
 February ,2022,Channel Partners,Mexico, Carretera , Medium ,712,3,12,8544,610.68,7933.32,2132.612903,5800.707097
 February ,2022,Small Business,France, VTT , Medium ,815,250,300,244500,20229,224271,200959.6774,23311.32258
 February ,2022,Small Business,Mexico, VTT , Medium ,2609,250,300,782700,57687,725013,649653.2258,75359.77419
 February ,2022,Government,Canada, Montana , Medium ,429,5,7,3003,273.28,2729.72,2119.347826,610.3721739
 February ,2022,Small Business,Germany, VTT , Medium ,2313,250,300,693900,71793,622107,569695.0549,52411.94505
 February ,2022,Government,Canada, Amarilla , High ,2083,260,350,729050,78400,650650,537044.4444,113605.5556
 February ,2022,Channel Partners,Canada, Carretera , High ,1762,3,12,21144,2556.84,18587.16,5221.11236,13366.04764
 February ,2022,Government,United States of America, Amarilla , High ,267,260,350,93450,11340,82110,69313.63636,12796.36364
 February ,2022,Government,United States of America, Montana , High ,1233,5,7,8631,1181.18,7449.82,6116.436782,1333.383218
 February ,2022,Government,United States of America, Paseo , High ,2324,10,20,46480,6866.6,39613.4,22766.32184,16847.07816
 February ,2022,Government,Germany, Paseo , High ,2653,10,20,53060,7040.8,46019.2,26447.81609,19571.38391
 February ,2022,Government,France, Montana , High ,284,5,7,1988,287.14,1700.86,1412.674419,288.1855814
 February ,2022,Midmarket,Germany, Paseo , High ,239,10,15,3585,583.8,3001.2,2326.511628,674.6883721
 February ,2022,Government,Mexico, Paseo , High ,226,10,20,4520,728,3792,2204.651163,1587.348837
 February ,2022,Enterprise,Mexico, Velo , High ,1527,120,125,190875,27562.5,163312.5,182302.3256,-18989.82558
 February ,2022,Government,Mexico, Montana , High ,1217,5,7,8519,1436.4,7082.6,5951.764706,1130.835294
 March ,2022,Midmarket,Germany, Montana , None ,792,5,15,11880,0,11880,7920,3960
 March ,2022,Channel Partners,Germany, Velo , None ,2139,120,12,25668,0,25668,6417,19251
 March ,2022,Government,Canada, VTT , Low ,1312,250,7,9184,92.82,9091.18,6559.292929,2531.887071
 March ,2022,Government,Mexico, Carretera , Low ,1125,3,350,393750,4235,389515,292276.7677,97238.23232
 March ,2022,Midmarket,Mexico, Montana , Low ,2191,5,15,32865,332.1,32532.9,21907.67677,10625.22323
 March ,2022,Government,Germany, VTT , Low ,263,250,7,1841,18.41,1822.59,1315,507.59
 March ,2022,Small Business,Germany, Amarilla , Low ,248,260,300,74400,1554,72846,61943.87755,10902.12245
 March ,2022,Small Business,Mexico, Amarilla , Low ,957,260,300,287100,6606,280494,238515.3061,41978.69388
 March ,2022,Enterprise,Canada, Paseo , Low ,1561,10,125,195125,6652.5,188472.5,186529.4845,1943.015464
 March ,2022,Midmarket,Canada, Montana , Low ,1770,5,15,26550,1180.2,25369.8,17617.91667,7751.883333
 March ,2022,Enterprise,Germany, Paseo , Low ,747,10,125,93375,3975,89400,89400,0
 March ,2022,Channel Partners,United States of America, Velo , Low ,1318,120,12,15816,703.2,15112.8,3935.625,11177.175
 March ,2022,Enterprise,United States of America, Paseo , Medium ,2902,10,125,362750,18700,344050,347671.5789,-3621.578947
 March ,2022,Enterprise,France, Paseo , Medium ,2122,10,125,265250,14906.25,250343.75,252978.9474,-2635.197368
 March ,2022,Government,United States of America, Carretera , Medium ,1567,3,350,548450,43144.5,505305.5,403623.4409,101682.0591
 March ,2022,Midmarket,France, Montana , Medium ,2450,5,15,36750,3001.2,33748.8,24455.65217,9293.147826
 March ,2022,Enterprise,Mexico, Paseo , Medium ,1013,10,125,126625,11140,115485,120506.087,-5021.086957
 March ,2022,Channel Partners,Canada, Velo , Medium ,580,120,12,6960,574.08,6385.92,1735.304348,4650.615652
 March ,2022,Government,United States of America, Paseo , Medium ,875,10,20,17500,1751.4,15748.6,8653.076923,7095.523077
 March ,2022,Channel Partners,France, Velo , Medium ,1927,120,12,23124,2124.36,20999.64,5769.131868,15230.50813
 March ,2022,Government,France, Paseo , High ,1856,10,20,37120,3908,33212,18451.11111,14760.88889
 March ,2022,Small Business,United States of America, Amarilla , High ,2813,260,300,843900,89790,754110,698250,55860
 March ,2022,Government,United States of America, VTT , High ,1563,250,7,10941,1215.83,9725.17,7805.11236,1920.05764
 March ,2022,Government,Germany, Carretera , High ,673,3,350,235550,30492,205058,171155.9551,33902.04494
 March ,2022,Government,Mexico, Paseo , High ,987,10,20,19740,2468.4,17271.6,9703.146067,7568.453933
 March ,2022,Midmarket,United States of America, Montana , High ,595,5,15,8925,1218.6,7706.4,5838.181818,1868.218182
 March ,2022,Government,France, VTT , High ,1371,250,7,9597,1252.44,8344.56,6773.181818,1571.378182
 March ,2022,Government,Canada, Carretera , High ,784,3,350,274400,41996.5,232403.5,198439.7701,33963.72989
 March ,2022,Government,France, Carretera , High ,1521,3,350,532350,81445,450905,385009.1954,65895.8046
 March ,2022,Government,Canada, Paseo , High ,2088,10,20,41760,6798.4,34961.6,20326.51163,14635.08837
 March ,2022,Government,Mexico, VTT , High ,2844,250,7,19908,2844.94,17063.06,14171.97674,2891.083256
 March ,2022,Small Business,Canada, Amarilla , High ,816,260,300,244800,37296,207504,201069.7674,6434.232558
 March ,2022,Government,Germany, Paseo , High ,1030,10,20,20600,3474,17126,10074.11765,7051.882353
 March ,2022,Channel Partners,Mexico, Velo , High ,455,120,12,5460,900,4560,1341.176471,3218.823529
 March ,2022,Small Business,France, Amarilla , High ,2227,260,300,668100,111375,556725,545808.8235,10916.17647
 April ,2022,Channel Partners,Germany, VTT , None ,2554,250,12,30648,0,30648,7662,22986
 April ,2022,Channel Partners,United States of America, Amarilla , None ,1816,260,12,21792,0,21792,5448,16344
 April ,2022,Enterprise,Germany, Amarilla , None ,4177,260,125,522125,0,522125,501240,20885
 April ,2022,Small Business,United States of America, Montana , Low ,2162,5,300,648600,6903,641697,540148.9899,101548.0101
 April ,2022,Government,United States of America, Paseo , Low ,3818,10,7,26726,314.475,26411.525,19055.93434,7355.590657
 April ,2022,Government,France, Velo , Low ,3284,120,20,65680,772.8,64907.2,32781.41414,32125.78586
 April ,2022,Government,Canada, VTT , Low ,868,250,350,303800,3302.25,300497.75,225481.7172,75016.03283
 April ,2022,Enterprise,Canada, Carretera , Low ,638,3,125,79750,1856.25,77893.75,76304.08163,1589.668367
 April ,2022,Enterprise,France, Carretera , Low ,3776,3,125,472000,15913.125,456086.875,451384.9485,4701.926546
 April ,2022,Government,Germany, Carretera , Low ,2193,3,20,43860,1548,42312,21810.30928,20501.69072
 April ,2022,Channel Partners,Mexico, VTT , Low ,1666,250,12,19992,689.76,19302.24,4974.804124,14327.43588
 April ,2022,Government,Canada, Velo , Low ,3773,120,20,75460,2310.3,73149.7,37706.03093,35443.66907
 April ,2022,Small Business,Germany, Paseo , Low ,1414,10,300,424200,16974,407226,353494.7917,53731.20833
 April ,2022,Enterprise,Mexico, Amarilla , Low ,1031,260,125,128875,5370,123505,123505,0
 April ,2022,Small Business,Mexico, Paseo , Medium ,1365,10,300,409500,24105,385395,338065.7895,47329.21053
 April ,2022,Midmarket,France, Paseo , Medium ,3762,10,15,56430,3420.9,53009.1,37595.10638,15413.99362
 April ,2022,Government,Mexico, Montana , Medium ,842,5,350,294700,20580,274120,216629.7872,57490.21277
 April ,2022,Channel Partners,France, VTT , Medium ,1738,250,12,20856,1460.34,19395.66,5213.887097,14181.7729
 April ,2022,Government,Germany, Paseo , Medium ,1158,10,7,8106,705.04,7400.96,5746.086957,1654.873043
 April ,2022,Government,France, VTT , Medium ,574,250,350,200900,16086,184814,149228.6957,35585.30435
 April ,2022,Small Business,Canada, Montana , Medium ,3802,5,300,1140600,102667.5,1037932.5,950487.6374,87444.86264
 April ,2022,Midmarket,United States of America, Paseo , Medium ,3381,10,15,50715,4961.25,45753.75,33519.23077,12234.51923
 April ,2022,Government,United States of America, VTT , Medium ,1189,250,350,416150,42572.25,373577.75,304961.4286,68616.32143
 April ,2022,Midmarket,Mexico, Velo , Medium ,2312,120,15,34680,3547.8,31132.2,22807.47253,8324.727473
 April ,2022,Enterprise,United States of America, Carretera , High ,3032,3,125,379000,43068.75,335931.25,358326.6667,-22395.41667
 April ,2022,Midmarket,Germany, Velo , High ,464,120,15,6960,765,6195,4588.888889,1606.111111
 April ,2022,Channel Partners,Canada, Amarilla , High ,3168,260,12,38016,4224.6,33791.4,9386.5,24404.9
 April ,2022,Government,France, Paseo , High ,2456,10,7,17192,1949.64,15242.36,12233.03371,3009.326292
 April ,2022,Small Business,France, Montana , High ,1755,5,300,526500,63828,462672,438136.3636,24535.63636
 April ,2022,Government,Mexico, Carretera , High ,2321,3,20,46420,7221.2,39198.8,22790,16408.8
 April ,2022,Government,Germany, Montana , High ,1139,5,350,398650,58751,339899,293600.4651,46298.53488
 April ,2022,Government,United States of America, Velo , High ,539,120,20,10780,1696.8,9083.2,5280.930233,3802.269767
 April ,2022,Midmarket,Canada, Paseo , High ,1565,10,15,23475,3631.5,19843.5,15563.52941,4279.970588
 April ,2022,Government,Mexico, Paseo , High ,2433,10,7,17031,2661.75,14369.25,12075,2294.25
 April ,2022,Government,Canada, Paseo , High ,723,10,7,5061,759.15,4301.85,3615,686.85
 May ,2022,Government,France, Paseo , Low ,937,10,7,6559,72.1,6486.9,4680.30303,1806.59697
 May ,2022,Government,Mexico, Velo , Low ,311,120,7,2177,25.34,2151.66,1552.424242,599.2357576
 May ,2022,Small Business,France, Paseo , Low ,798,10,300,239400,5508,233892,198887.7551,35004.2449
 May ,2022,Small Business,Germany, Paseo , Low ,1658,10,300,497400,10368,487032,414142.8571,72889.14286
 May ,2022,Enterprise,Germany, Amarilla , Low ,2253,260,125,281625,5690,275935,270303.6735,5631.326531
 May ,2022,Government,Canada, Carretera , Low ,756,3,20,15120,498.6,14621.4,7536.804124,7084.595876
 May ,2022,Small Business,United States of America, Paseo , Low ,2772,10,300,831600,35016,796584,691479.1667,105104.8333
 May ,2022,Channel Partners,France, VTT , Low ,770,250,12,9240,415.68,8824.32,2298,6526.32
 May ,2022,Government,France, Carretera , Medium ,1359,3,20,27180,1563,25617,13482.63158,12134.36842
 May ,2022,Government,United States of America, Paseo , Medium ,2280,10,7,15960,814.45,15145.55,11387.63158,3757.918421
 May ,2022,Government,Germany, Montana , Medium ,1270,5,350,444500,30660,413840,327046.8085,86793.19149
 May ,2022,Midmarket,Germany, Velo , Medium ,1407,120,15,21105,1377,19728,13991.48936,5736.510638
 May ,2022,Midmarket,Canada, Velo , Medium ,1249,120,15,18735,1325.1,17409.9,12480.21505,4929.684946
 May ,2022,Small Business,Canada, Paseo , Medium ,1531,10,300,459300,35742,423558,379532.2581,44025.74194
 May ,2022,Enterprise,Canada, Amarilla , Medium ,1447,260,125,180875,14393.75,166481.25,171851.6129,-5370.362903
 May ,2022,Government,Canada, Paseo , Medium ,239,10,7,1673,143.92,1529.08,1187.173913,341.906087
 May ,2022,Government,Germany, Paseo , Medium ,952,10,7,6664,613.2,6050.8,4697.826087,1352.973913
 May ,2022,Government,France, Montana , Medium ,1649,5,350,577150,52479,524671,428302.8571,96368.14286
 May ,2022,Midmarket,Mexico, Velo , Medium ,208,120,15,3120,330.75,2789.25,2043.406593,745.8434066
 May ,2022,Channel Partners,Germany, VTT , Medium ,809,250,12,9708,950.4,8757.6,2405.934066,6351.665934
 May ,2022,Government,Germany, Carretera , Medium ,636,3,20,12720,1193.4,11526.6,6333.296703,5193.303297
 May ,2022,Government,United States of America, Montana , High ,2313,5,350,809550,80955,728595,601380,127215
 May ,2022,Small Business,Mexico, Paseo , High ,579,10,300,173700,17730,155970,144416.6667,11553.33333
 May ,2022,Midmarket,United States of America, Velo , High ,679,120,15,10185,1185,9000,6666.666667,2333.333333
 May ,2022,Enterprise,Mexico, VTT , High ,296,250,125,37000,4262.5,32737.5,34920,-2182.5
 May ,2022,Government,Mexico, Amarilla , High ,1855,260,20,37100,4078,33022,18345.55556,14676.44444
 May ,2022,Enterprise,France, Amarilla , High ,1232,260,125,154000,19703.75,134296.25,144858.8764,-10562.6264
 May ,2022,Channel Partners,Canada, VTT , High ,1919,250,12,23028,3036.96,19991.04,5679.272727,14311.76727
 May ,2022,Channel Partners,Mexico, Montana , High ,2341,5,12,28092,3831.84,24260.16,6892.090909,17368.06909
 May ,2022,Government,United States of America, Carretera , High ,1725,3,20,34500,4880.4,29619.6,17220.69767,12398.90233
 May ,2022,Government,Canada, Montana , High ,184,5,350,64400,9800,54600,47162.7907,7437.209302
 May ,2022,Enterprise,United States of America, Amarilla , High ,2758,260,125,344750,49770,294980,329280,-34300
 May ,2022,Government,Mexico, Paseo , High ,2508,10,350,877800,149677.5,728122.5,636342.3529,91780.14706
 May ,2022,Midmarket,France, Velo , High ,2741,120,15,41115,6358.5,34756.5,27260,7496.5
 May ,2022,Channel Partners,United States of America, VTT , High ,1661,250,12,19932,3250.8,16681.2,4906.235294,11774.96471
 June ,2022,Midmarket,France, Carretera , None ,2047,3,15,30705,0,30705,20470,10235
 June ,2022,Midmarket,Germany, Carretera , None ,772,3,15,11580,0,11580,7720,3860
 June ,2022,Midmarket,Mexico, Carretera , None ,2198,3,15,32970,0,32970,21980,10990
 June ,2022,Channel Partners,Canada, Montana , None ,2190,5,12,26280,0,26280,6570,19710
 June ,2022,Government,France, Montana , None ,1842,5,20,36840,0,36840,18420,18420
 June ,2022,Channel Partners,Germany, Montana , None ,1514,5,12,18168,0,18168,4542,13626
 June ,2022,Midmarket,Mexico, Montana , None ,2247,5,15,33705,0,33705,22470,11235
 June ,2022,Channel Partners,Canada, Paseo , None ,2316,10,12,27792,0,27792,6948,20844
 June ,2022,Government,Germany, Paseo , None ,975,10,350,341250,0,341250,253500,87750
 June ,2022,Government,Germany, Velo , None ,995,120,350,348250,0,348250,258700,89550
 June ,2022,Channel Partners,Germany, Velo , None ,1514,120,12,18168,0,18168,4542,13626
 June ,2022,Midmarket,France, VTT , None ,2003,250,15,30045,0,30045,20030,10015
 June ,2022,Midmarket,Germany, VTT , None ,754,250,15,11310,0,11310,7540,3770
 June ,2022,Government,France, Amarilla , None ,1880,260,20,37600,0,37600,18800,18800
 June ,2022,Enterprise,United States of America, Paseo , Low ,727,10,125,90875,908.75,89966.25,87240,2726.25
 June ,2022,Enterprise,France, Paseo , Low ,739,10,125,92375,983.75,91391.25,88621.81818,2769.431818
 June ,2022,Enterprise,United States of America, VTT , Low ,654,250,125,81750,908.75,80841.25,78391.51515,2449.734848
 June ,2022,Enterprise,France, VTT , Low ,779,250,125,97375,983.75,96391.25,93470.30303,2920.94697
 June ,2022,Channel Partners,United States of America, Montana , Low ,1130,5,12,13560,274.08,13285.92,3389.265306,9896.654694
 June ,2022,Channel Partners,United States of America, Paseo , Low ,1050,10,12,12600,274.08,12325.92,3144.367347,9181.552653
 June ,2022,Enterprise,Mexico, Paseo , Low ,569,10,125,71125,1655,69470,68052.2449,1417.755102
 June ,2022,Enterprise,Mexico, VTT , Low ,589,250,125,73625,1655,71970,70501.22449,1468.77551
 June ,2022,Small Business,Germany, Carretera , Low ,606,3,300,181800,6201,175599,150858.2474,24740.75258
 June ,2022,Channel Partners,France, Montana , Low ,1653,5,12,19836,684.36,19151.64,4935.989691,14215.65031
 June ,2022,Channel Partners,France, Paseo , Low ,1729,10,12,20748,684.36,20063.64,5171.041237,14892.59876
 June ,2022,Small Business,Germany, Paseo , Low ,668,10,300,200400,6201,194199,166837.6289,27361.37113
 June ,2022,Enterprise,Germany, Paseo , Low ,1554,10,125,194250,5887.5,188362.5,186420.6186,1941.881443
 June ,2022,Enterprise,Germany, VTT , Low ,1522,250,125,190250,5887.5,184362.5,182461.8557,1900.64433
 June ,2022,Small Business,United States of America, Carretera , Medium ,971,3,300,291300,14865,276435,242486.8421,33948.15789
 June ,2022,Small Business,United States of America, Paseo , Medium ,901,10,300,270300,14865,255435,224065.7895,31369.21053
 June ,2022,Government,United States of America, Paseo , Medium ,523,10,350,183050,10535,172515,134898.9474,37616.05263
 June ,2022,Government,United States of America, Velo , Medium ,535,120,350,187250,10535,176715,138183.1579,38531.84211
 June ,2022,Midmarket,Canada, Carretera , Medium ,2730,3,15,40950,2559.6,38390.4,27227.23404,11163.16596
 June ,2022,Government,France, Paseo , Medium ,1391,10,350,486850,31416,455434,359917.4468,95516.55319
 June ,2022,Government,France, Velo , Medium ,1451,120,350,507850,31416,476434,376513.1915,99920.80851
 June ,2022,Government,Mexico, Velo , Medium ,1303,120,7,9121,629.16,8491.84,6452.765957,2039.074043
 June ,2022,Midmarket,Canada, VTT , Medium ,2588,250,15,38820,2559.6,36260.4,25716.59574,10543.80426
 June ,2022,Government,Mexico, VTT , Medium ,1318,250,7,9226,629.16,8596.84,6532.553191,2064.286809
 June ,2022,Government,Canada, Velo , Medium ,987,120,7,6909,556.15,6352.85,4879.301075,1473.548925
 June ,2022,Government,Canada, Amarilla , Medium ,1089,260,7,7623,556.15,7066.85,5427.688172,1639.161828
 June ,2022,Small Business,France, Carretera , Medium ,443,3,300,132900,9408,123492,110655.914,12836.08602
 June ,2022,Small Business,France, Paseo , Medium ,389,10,300,116700,9408,107292,96139.78495,11152.21505
 June ,2022,Government,United States of America, Montana , Medium ,1243,5,20,24860,2051.2,22808.8,12396.08696,10412.71304
 June ,2022,Government,United States of America, Amarilla , Medium ,1192,260,20,23840,2051.2,21788.8,11841.73913,9947.06087
 June ,2022,Government,Canada, Montana , Medium ,651,5,20,13020,1132.8,11887.2,6460.434783,5426.765217
 June ,2022,Government,Germany, Paseo , Medium ,1325,10,20,26500,2185.6,24314.4,13214.34783,11100.05217
 June ,2022,Small Business,Mexico, Paseo , Medium ,2189,10,300,656700,59040,597660,541358.6957,56301.30435
 June ,2022,Government,United States of America, Velo , Medium ,2470,120,7,17290,1627.92,15662.08,12160,3502.08
 June ,2022,Government,Germany, Velo , Medium ,2127,120,7,14889,1309.28,13579.72,10543.26087,3036.45913
 June ,2022,Government,Germany, VTT , Medium ,2150,250,7,15050,1309.28,13740.72,10668.26087,3072.45913
 June ,2022,Government,Canada, Amarilla , Medium ,679,260,20,13580,1132.8,12447.2,6764.782609,5682.417391
 June ,2022,Government,United States of America, Amarilla , Medium ,2732,260,7,19124,1627.92,17496.08,13583.91304,3912.166957
 June ,2022,Government,Germany, Amarilla , Medium ,1174,260,20,23480,2185.6,21294.4,11573.04348,9721.356522
 June ,2022,Small Business,Mexico, Amarilla , Medium ,2189,260,300,656700,59040,597660,541358.6957,56301.30435
 June ,2022,Small Business,Canada, Carretera , Medium ,995,3,300,298500,29538,268962,246302.1978,22659.8022
 June ,2022,Small Business,Canada, Paseo , Medium ,1039,10,300,311700,29538,282162,258390.1099,23771.89011
 June ,2022,Government,Mexico, Paseo , Medium ,903,10,20,18060,1868.4,16191.6,8896.483516,7295.116484
 June ,2022,Government,Mexico, Amarilla , Medium ,923,260,20,18460,1868.4,16591.6,9116.263736,7475.336264
 June ,2022,Government,Mexico, Carretera , High ,832,3,350,291200,37212,253988,214405.4545,39582.54545
 June ,2022,Government,Mexico, Paseo , High ,886,10,350,310100,37212,272888,230360,42528
 June ,2022,Midmarket,United States of America, Carretera , High ,2464,3,15,36960,5005.65,31954.35,24486.09195,7468.258046
 June ,2022,Midmarket,United States of America, VTT , High ,2515,250,15,37725,5005.65,32719.35,25072.29885,7647.051149
 June ,2022,Channel Partners,Mexico, Montana , High ,561,5,12,6732,942.24,5789.76,1663.724138,4126.035862
 June ,2022,Government,Canada, Paseo , High ,2316,10,350,810600,119756,690844,589883.2184,100960.7816
 June ,2022,Enterprise,Canada, Paseo , High ,1440,10,125,180000,25723.75,154276.25,170235.8621,-15959.61207
 June ,2022,Government,Canada, Velo , High ,2237,120,350,782950,119756,663194,566274.023,96919.97701
 June ,2022,Government,France, Velo , High ,1071,120,7,7497,1082.9,6414.1,5266.091954,1148.008046
 June ,2022,Channel Partners,Mexico, Velo , High ,597,120,12,7164,942.24,6221.76,1787.862069,4433.897931
 June ,2022,Enterprise,Canada, VTT , High ,1393,250,125,174125,25723.75,148401.25,163753.1034,-15351.85345
 June ,2022,Government,France, Amarilla , High ,1142,260,7,7994,1082.9,6911.1,5674.137931,1236.962069
 July ,2022,Enterprise,Canada, Montana , None ,2398,5,125,299750,0,299750,287760,11990
 July ,2022,Channel Partners,Germany, Paseo , None ,333,10,12,3996,0,3996,999,2997
 July ,2022,Government,Germany, Amarilla , None ,1618,260,7,11326,0,11326,8090,3236
 July ,2022,Government,United States of America, Carretera , Low ,2326,3,7,16282,177.03,16104.97,11619.74747,4485.222525
 July ,2022,Government,France, Montana , Low ,1196,5,20,23920,275.1,23644.9,11941.86869,11703.03131
 July ,2022,Enterprise,Mexico, Paseo , Low ,1640,10,125,205000,2278.75,202721.25,196578.1818,6143.068182
 July ,2022,Channel Partners,United States of America, Paseo , Low ,1314,10,12,15768,493.02,15274.98,3936.850515,11338.12948
 July ,2022,Government,United States of America, Paseo , Low ,3001,10,350,1050350,48300,1002050,775395.8333,226654.1667
 July ,2022,Enterprise,France, Paseo , Low ,2928,10,125,366000,14940,351060,351060,0
 July ,2022,Government,Mexico, Amarilla , Medium ,1514,260,7,10598,589.05,10008.95,7525.526316,2483.423684
 July ,2022,Enterprise,United States of America, Montana , Medium ,3590,5,125,448750,22668.75,426081.25,430566.3158,-4485.065789
 July ,2022,Enterprise,Germany, Paseo , Medium ,3161,10,125,395125,30738.75,364386.25,376140.6452,-11754.39516
 July ,2022,Small Business,France, Velo , Medium ,1659,120,300,497700,34839,462861,414750,48111
 July ,2022,Government,Germany, Montana , Medium ,599,5,20,11980,1032,10948,5950,4998
 July ,2022,Government,United States of America, VTT , Medium ,375,250,20,7500,698.4,6801.6,3696.521739,3105.078261
 July ,2022,Small Business,Canada, Velo , Medium ,3527,120,300,1058100,102424.5,955675.5,875160.7143,80514.78571
 July ,2022,Government,Germany, Velo , Medium ,1189,120,350,416150,41170.5,374979.5,306105.7143,68873.78571
